opcode,mnemonic,addressing mode,bytes,cycles,flags
0x04,NOP,ILL,2,3,czidbvn
0x0c,NOP,ILL,3,4,czidbvn
0x14,NOP,ILL,2,4,czidbvn
0x1A,NOP,ILL,1,2,czidbvn
0x1C,NOP,ABSX,3,4/5,czidbvn
0x34,NOP,ILL,2,4,czidbvn
0x3A,NOP,ILL,1,2,czidbvn
0x3C,NOP,ABSX,3,4/5,czidbvn
0x44,NOP,ILL,2,3,czidbvn
0x54,NOP,ILL,2,4,czidbvn
0x5A,NOP,ILL,1,2,czidbvn
0x5C,NOP,ABSX,3,4/5,czidbvn
0x64,NOP,ILL,2,3,czidbvn
0x74,NOP,ILL,2,4,czidbvn
0x7A,NOP,ILL,1,2,czidbvn
0x7C,NOP,ABSX,3,4/5,czidbvn
0x80,NOP,ILL,2,2,czidbvn
0xD4,NOP,ILL,2,4,czidbvn
0xDA,NOP,ILL,1,2,czidbvn
0xDC,NOP,ABSX,3,4/5,czidbvn
0xF4,NOP,ILL,2,4,czidbvn
0xFA,NOP,ILL,1,2,czidbvn
0xFC,NOP,ABSX,3,4/5,czidbvn
0xA3,LAX,INDX,2,6,czidbvn
0xA7,LAX,ZP,2,3,czidbvn
0xAF,LAX,ABS,3,4,czidbvn
0xB3,LAX,INDY,2,5/6,czidbvn
0xB7,LAX,ZPY,2,4,czidbvn
0xBF,LAX,ABSY,3,4/5,czidbvn
0x83,SAX,INDX,2,6,czidbvn
0x87,SAX,ZP,2,3,czidbvn
0x8F,SAX,ABS,3,4,czidbvn
0x97,SAX,ZPY,2,4,czidbvn
0xEB,SBC,IMM,2,2,CZidbVN
0xC7,DCP,ZP,2,5,CZidbVN
0xD7,DCP,ZPX,2,6,CZidbVN
0xCF,DCP,ABS,3,6,CZidbVN
0xDF,DCP,ABSX,3,7,CZidbVN
0xDB,DCP,ABSY,3,7,CZidbVN
0xC3,DCP,INDX,2,8,CZidbVN
0xD3,DCP,INDY,2,8,CZidbVN
0xE3,ISC,INDX,2,8,CZidbVN
0xE7,ISC,ZP,2,5,CZidbVN
0xEF,ISC,ABS,3,6,CZidbVN
0xF3,ISC,INDY,2,8,CZidbVN
0xF7,ISC,ZPX,2,6,CZidbVN
0xFB,ISC,ABSY,3,7,CZidbVN
0xFF,ISC,ABSX,3,7,CZidbVN
0x03,SLO,INDX,2,8,CZidbVN
0x07,SLO,ZP,2,5,CZidbVN
0x0F,SLO,ABS,3,6,CZidbVN
0x13,SLO,INDY,2,8,CZidbVN
0x17,SLO,ZPX,2,6,CZidbVN
0x1B,SLO,ABSY,3,7,CZidbVN
0x1F,SLO,ABSX,3,7,CZidbVN
0x23,RLA,INDX,2,8,CZidbVN
0x27,RLA,ZP,2,5,CZidbVN
0x2F,RLA,ABS,3,6,CZidbVN
0x33,RLA,INDY,2,8,CZidbVN
0x37,RLA,ZPX,2,6,CZidbVN
0x3B,RLA,ABSY,3,7,CZidbVN
0x3F,RLA,ABSX,3,7,CZidbVN
0x63,RRA,INDX,2,8,CZidbVN
0x67,RRA,ZP,2,5,CZidbVN
0x6F,RRA,ABS,3,6,CZidbVN
0x73,RRA,INDY,2,8,CZidbVN
0x77,RRA,ZPX,2,6,CZidbVN
0x7B,RRA,ABSY,3,7,CZidbVN
0x7F,RRA,ABSX,3,7,CZidbVN
0x43,SRE,INDX,2,8,CZidbVN
0x47,SRE,ZP,2,5,CZidbVN
0x4F,SRE,ABS,3,6,CZidbVN
0x53,SRE,INDY,2,8,CZidbVN
0x57,SRE,ZPX,2,6,CZidbVN
0x5B,SRE,ABSY,3,7,CZidbVN
0x5F,SRE,ABSX,3,7,CZidbVN
